Producto_A,Codigo_A,Producto_B,Codigo_B,Soporte_Conjunto_%,Confianza_%,Lift,Soporte_A_%,Soporte_B_%
PALA ETERNA P BASURA  PINTADO,7441040001467,ENVASE CANTONES ENTERO CON TAPA,395,0.0,7.69,0.86,0.04,0.07
Te durazno tang 13g,7622202008450,ARROZ MR.MAXIMO 95% 4K+ACEITE 1/2 L,7441057503411,0.0,3.85,0.86,0.08,0.04
Te durazno tang 13g,7622202008450,CINTA ADHESIVA CRISTILINO,7754005381642,0.0,3.85,0.86,0.08,0.04
ROMA LENGUA 250G,731701001118,2 PK COCA COLA ZERO 3L,7441003598454,0.0,3.85,0.86,0.08,0.04
CHURRITOS DIANA 44G,748757007162,PAPEL HIGIENICO NEVAX MEGARROLLO,7501036624374,0.0,4.55,0.86,0.07,0.04
CAFE SASO TWO PACK 180gr,748366400187,DELIGURT CIRUELA 125GRS,7441001614781,0.0,2.08,0.86,0.16,0.02
PROTECTOR KOTEX DAYS  1 X 15,7702425631397,PALETA NAVIDAD,6937859509351,0.0,16.67,0.86,0.02,0.16
PROTEX AVENA,99176922346,Te durazno tang 13g,7622202008450,0.01,9.09,0.86,0.11,0.08
TORTIRRICA GRUESITA DE 20 Z,7441000704230,TORTIRRICADE 25 UD Z,7441000704025,0.0,6.25,0.86,0.05,0.06
OLLITAS BIMBO,7441029556575,FANTA UVA 600ML.,7441003521483,0.0,4.55,0.86,0.07,0.04
LIMPION MICROFIBRA firebird,55,SERVILLETA REGIO BLANCA  1X100,7441008147503,0.0,3.12,0.86,0.1,0.03
TE VERDE ANTOXIDANTE 500 ML CERO,7441001637056,JUGO DE MANZANA DOS PINOS 100% 250ML,7441001620010,0.0,4.55,0.86,0.07,0.04
TACO RES MED. MONTECILLOS,7441005526707,GASILLAS SURTIDAS,7441094102738,0.0,4.17,0.86,0.08,0.04
SOPITA MAGGI,7613035371354,CAJITA HELADO ALASKA 60 GM.,7441001610943,0.0,5.56,0.86,0.06,0.05
REFRESCO TROPICAL FRUTAS 1000,764009010650,MIEL DE ABEJA 180GS MONDAIZA,730345004042,0.0,2.78,0.86,0.12,0.03
FRIJOL TOCORORO NEGRO 800 GRS,7441057503169,suavitel fresca primavera 450 ml,7509546017808,0.0,7.69,0.86,0.04,0.07
LIMPION MICROFIBRA firebird,55,ARROZ MR MAXIMO 95% 900G Z,7441057500533,0.0,3.12,0.86,0.1,0.03
TURRON DE COCO ROSELLO 60 GS,761295203179,QUESITOS DIANA 131 GS,748757000149,0.0,7.69,0.86,0.04,0.07
ATUN PRONTO TROCITOS  PEQ,731701013449,PASTILLA TERROR BUQUET 50 GS,748928000190,0.0,3.12,0.86,0.1,0.03
CANASTILLA ESPECIAL DEL VALLE,7443001260128,PAPEL ALUM. EZWRP 25 PIESCUADR.,7441010606692,0.0,2.78,0.86,0.12,0.03
BOMBILLO SYLVANIQA75 W,7702048185611,CHAN ESPECIES PARAISO,7441094102622,0.0,7.69,0.86,0.04,0.07
REFRESCO TROPICAL TE MELO 1000,764009010667,QUESO CREMA T AMERICANO 100G,7441001606069,0.0,5.56,0.86,0.06,0.05
helado paquita cas sensacion,7441134014106,CHILE SANTA CR RODAJA160GRS,796500000588,0.0,4.55,0.86,0.07,0.04
desotres  clasico,99176918424,NEVAX PRACTIMAS X4 UDS,7441057260932,0.0,5.56,0.86,0.06,0.05
CAFE SASO TWO PACK 180gr,748366400187,leche coronado polvo entera 2 a mitad precio z,7441013501789,0.0,2.08,0.86,0.16,0.02
tang limon 13 g.,7622201393465,Patitos Sazón completo,756958000424,0.0,5.56,0.86,0.06,0.05
REFRESCO TROPICAL FRUTAS 1000,764009010650,ACEITE GIROL DE GIRASOL 3 LTR Z,7790070012234,0.0,2.78,0.86,0.12,0.03
ATUN PRONTO TROZOS 2 PACKS,731701018048,PROTEX BALANCE,99176922261,0.0,5.56,0.86,0.06,0.05
DETERGENTE IREX MANAZANA  1.5k,748928013138,Leche pinito 1 Litro,7441001601118,0.0,12.5,0.86,0.03,0.12
Pizero La Villita 200g,7441014709160,Azukar orgánico 900g Zukra,7441042605779,0.0,6.25,0.86,0.05,0.06
GOMA LOCA 3 G,6992023120022,CHOCOLATE LEXUS PEANUT 140gr,8699462609603,0.0,5.56,0.86,0.06,0.05
GOMA LOCA 3 G,6992023120022,MANI MIX 400 GS KITTY,7441107105695,0.0,5.56,0.86,0.06,0.05
CLORO SOLMAX 1G.,7443012853647,HONGOS REBANADOS TOÑOS190,796500001721,0.01,8.0,0.86,0.08,0.07
QUESADILLA FAVORITA Z,7443001260395,BARRA CERAL FRUTAL MANZANA Y TE VERDE JACKS,7441001002564,0.0,2.78,0.86,0.12,0.03
TRULULU FRNKI 80 GS,7702993048436,SUBMARINO MARIANELA VAINILLA 64 GS,74000654,0.0,3.85,0.86,0.08,0.04
VELITAS 1X4,6,ALIMENTO PARA CONEJO ENGORDE 1K,7443007530430,0.0,2.78,0.86,0.12,0.03
RANCHITA NACHO GUACAMOLE 250 GS,750894612758,Guaraná 2 L,873039000460,0.0,2.78,0.86,0.12,0.03
FRIJOLES ROJOS MR MAXIMO 400G Z,7441057501417,PALA ETERNA P BASURA  PINTADO,7441040001467,0.0,4.55,0.86,0.07,0.04
BOLSA PLASTICA CAMISETA G-M-P.,53,PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,0.0,12.5,0.86,0.03,0.12
PAPEL HIGIENICO NEVAX MEGARROLLO,7501036624374,CHAN ESPECIES PARAISO,7441094102622,0.0,7.69,0.86,0.04,0.07
CLOROX BOL 200ML,7441000313005,champu  4 keratina vital sachet,7509546650098,0.0,4.17,0.86,0.08,0.04
"avena corazon inst, linaza",803275305593,CAFE LOS GEMELOS 180 GS,7441042100618,0.0,11.11,0.86,0.03,0.1
Deposito cerveza litro,1009,IMPERIAL LIGH LITRO,764009022608,0.0,4.17,0.86,0.08,0.04
multisintomas gripe,7451079003226,FABULOSO LAVANDA 750 ML,99176132431,0.01,4.88,0.86,0.13,0.05
CONSOME MAGGI SABOR/COLOR 12U,7613032332488,BARRA SAN LUIS 200 G. AZUL,99176003496,0.0,6.25,0.86,0.05,0.06
BARRA NARANJA JACKS,7441001006234,NECTAR D PINOS MELOC LITRO,7441001623080,0.0,5.56,0.86,0.06,0.05
NATILLA S/SAL ZARCERO 300 GR.,7441013503042,"avena corazon inst, linaza",803275305593,0.0,3.12,0.86,0.1,0.03
NATILLA S/SAL ZARCERO 300 GR.,7441013503042,AJINOMOTO SUPER AMERICA 500 GS,36,0.01,6.25,0.86,0.1,0.06
SALSA NATURAS RANCHERA 106G,7411000344859,SALSA LIZANO OFERTA BOTELLA+ DOY PACK,7411000386941,0.0,3.85,0.86,0.08,0.04
SALSA NATURAS RANCHERA 106G,7411000344859,PAPEL ALUMINIO ALUMINE 16 PIES,7441067604597,0.0,3.85,0.86,0.08,0.04
HOJA DE AFEIT ASTRA,3014260316297,ATUN PRONTO TROCITOS 354 G,731701012053,0.0,2.08,0.86,0.16,0.02
molde 22x22 cuadrado con tapa,9090901160003,CHOCOLITO FRESA 30 GS,7702007008036,0.0,4.17,0.86,0.08,0.04
ZAFRAN SALSA CON TOMATE DOY PACK 420 G,769470004726,2 PACK PEPSI OFERTA,1709,0.0,4.55,0.86,0.07,0.04
REFRESCO HI-C FRUTAS 250ML,7441001700026,CHICHARRON LIMON  JACKS 15 G.,7441001000874,0.0,6.25,0.86,0.05,0.06
HOJA DE AFEIT ASTRA,3014260316297,MTMGCO01 MARQUISE GASTRO PAPAS FRITAS CONGELADAS 3/8 1KG 10U/CM 60C/T CAJA,5412873180171,0.0,2.08,0.86,0.16,0.02
HOJA DE AFEIT ASTRA,3014260316297,MENITOS SUPER JACKS DE 40 G.,7441001002748,0.0,2.08,0.86,0.16,0.02
HOJA DE AFEIT ASTRA,3014260316297,TORTILLA 250 GS CLASICA GINA,7441031600235,0.0,2.08,0.86,0.16,0.02
BIG GINGER ALE 3.3,7445072005936,PINCHOS GRANDES,6959013600018,0.0,3.12,0.86,0.1,0.03
JALEA GUAYABA UJARRAS 225G,7441041002845,MANI MIX 400 GS KITTY,7441107105695,0.0,5.56,0.86,0.06,0.05
PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,JABON POLVO FORT3 4500 GS,748928011189,0.0,2.78,0.86,0.12,0.03
PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,CABITOS DE AJO NUMAR CJT4,751963121003,0.0,2.78,0.86,0.12,0.03
CLOROX BOL 200ML,7441000313005,PANADOL EXTRAFU ADUL DP/100,7451079000133,0.0,4.17,0.86,0.08,0.04
ATUN PRONTO TROZOS 2 PACKS,731701018048,OFERTA 4 UNIDADES KITTY,7441107102366,0.0,5.56,0.86,0.06,0.05
TRULULU LENGUAS 80 GS,7702993042397,GASILLAS SURTIDAS,7441094102738,0.0,4.17,0.86,0.08,0.04
Aros Trululu 80g,7702993048092,Uva roja kilo,5501,0.0,3.85,0.86,0.08,0.04
CAFE 1820 MOLIDO 500 GRS,7441006818283,salsa tomate banquete 700 g,735051001583,0.0,3.85,0.86,0.08,0.04
PALETA NAVIDAD,6937859509351,splash BBB TROZOS EN ACEITE 230 G.,7441002653543,0.0,2.08,0.86,0.16,0.02
TRIDENT MENTA 18 PS,7506105606053,Te durazno tang 13g,7622202008450,0.0,9.09,0.86,0.04,0.08
CAFE 1820 MOLIDO 500 GRS,7441006818283,ROSCA QUESO MOANA 170 GS,7443026750024,0.0,3.85,0.86,0.08,0.04
GALLETA DE AVENA 38 G. MANZANA CANELA,7501000634125,TROPICAL TE BLANCO SANDIA CERO 500ML PET,764009056030,0.0,11.11,0.86,0.03,0.1
PAPEL YUMBO ROLLO,7441010644465,PASTA MAXFRESH 50 ML Z,7509546032023,0.0,2.78,0.86,0.12,0.03
ATUN PRONTO TROCITOS  PEQ,731701013449,ATUN SARDIMAR JALAPEÑO 140 GS,7441002649386,0.0,3.12,0.86,0.1,0.03
SOPA MAGGI CRIOLLA GALLINA CON FIDEOS 60G,88169013765,PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,0.0,12.5,0.86,0.03,0.12
MASECA EMPANADAS 400 GRS,56200,COCA COLA ZERO 600 ML.,7441003518483,0.0,12.5,0.86,0.03,0.12
REFRESCO HI-C FRUTAS 250ML,7441001700026,REFRESCO HI-C UVA 250ML,7441001700033,0.0,6.25,0.86,0.05,0.06
CANASTILLA ESPECIAL DEL VALLE,7443001260128,PAPEL HIGIENICO ELITE 8ROLLO,7759185005234,0.0,2.78,0.86,0.12,0.03
BASTON MENTA,6974887999495,Sandwich yupi,8992741906678,0.0,4.17,0.86,0.08,0.04
saba diarios tradicional mregulaR  50 UN.,7501019040870,GALLETA POZUELO MARIA DOCENA,86581006280,0.0,14.29,0.86,0.02,0.13
PAN  TOSTADO INTEGRAL 14 UDS BIMBO,7441029507041,bombillo 9 w silvania,7702048276210,0.0,7.69,0.86,0.04,0.07
ACEITE CLOVER GIRASOL 1/2 LTR,751963314450,ATUN PRONTO TROCITOS  PEQ,731701013449,0.0,11.11,0.86,0.03,0.1
ZUKO MANGO 13gr,7503037746185,TABASCO LIZANO,747627003013,0.01,11.11,0.86,0.06,0.1
ZUKO MANGO 13gr,7503037746185,PROTEX BALANCE,99176922261,0.0,5.56,0.86,0.06,0.05
BOMBA ESPECIES,7441094102431,bizcocho la tica 45 gs rojo,7441000721008,0.0,4.17,0.86,0.08,0.04
JUGO DEL VALLE FRESH 250 ML.,7441003560253,gomiya bompiro 15grs,7896451912886,0.0,2.44,0.86,0.13,0.02
CERVEZA THURINGER PREMIUM,4012440025532,costilla de guayaba ZARCEREÑA,7443000400211,0.0,2.78,0.86,0.12,0.03
pall mall alaska,7421000598527,cono tricolor  24 uds. torelli,7441018903601,0.0,6.25,0.86,0.05,0.06
HARINA MISABOR  1KILO Z,7441010611450,CHILE SANTA CR TROCITOS MED,796500000595,0.01,9.09,0.86,0.07,0.08
PROTECTOR LABIAL VASELINE,8801619052259,Leche pinito 2pack,7441001629754,0.0,4.17,0.86,0.08,0.04
TOCINETA AHUMADA 250 GS,7441001635601,JUGO NARANJA DOS PINOS 1.8 LT.,7441001619274,0.0,8.33,0.86,0.04,0.08
MAGDALENA DEL VALLE 1X8,7443001260630,FOSFOROS QUEZAL 1X10,7452100250077,0.0,6.25,0.86,0.05,0.06
NATILLA LA GRANJA  S/SAL 300 GM.,7441001608698,PAN CASERO FAVORITA,7443001260340,0.0,8.33,0.86,0.04,0.08
CLOROX BOL 200ML,7441000313005,Rinsa Antibacterial 450g,7411000346914,0.0,4.17,0.86,0.08,0.04
JALEA GUAYABA UJARRAS 225G,7441041002845,GELATINA DIETX CEREZA,7441005692761,0.0,5.56,0.86,0.06,0.05
CHOCO ALMENDRAS 250 ML,7441001634598,SPONCH FRESA,74001200,0.0,9.09,0.86,0.04,0.08
ATUN PRONTO TROCITOS  PEQ,731701013449,BARRA SAN LUIS 200 G. AZUL,99176003496,0.01,6.25,0.86,0.1,0.06
KIWI UNIDAD,532,ZAFRAN MAYONESA REDUCIDA LIPIDOS 420 G.,769470004740,0.0,2.44,0.86,0.13,0.02
KIWI UNIDAD,532,ALCOHOL MEDICINAL 70º,7441141604543,0.0,2.44,0.86,0.13,0.02
CAFE CHANDITO 2PACK 180gr,748366400170,JELAXY FRASCO 200gr,8693029701779,0.0,6.25,0.86,0.05,0.06
OFERTA KITY 3PACKS MEDIANO,7441107104216,SEDAL CREMA LISO SOBRE,7411000358641,0.0,2.44,0.86,0.13,0.02
maruc. pollo picante ramen,41789002991,TACO TORNITOS QUESO 180 GS,750894612635,0.0,9.09,0.86,0.04,0.08
KIWI UNIDAD,532,sofrito roma 210 grs,731701016228,0.0,2.44,0.86,0.13,0.02
OFERTA KITY 3PACKS MEDIANO,7441107104216,FRIJOLES MOLIDOS NEGROS MEDIO SANTA CRUZ 400G,796500000380,0.0,2.44,0.86,0.13,0.02
LIMPION,9071103040003,ROMA LENGUA 250G,731701001118,0.0,9.09,0.86,0.04,0.08
CAFE 100 PURO QUETZAL,7441042800013,JUGOSA SARTEN HIERBAS,8585002432339,0.0,2.08,0.86,0.16,0.02
MAGDALENA DEL VALLE 1X8,7443001260630,SOPITA MAGGI,7613035371354,0.0,6.25,0.86,0.05,0.06
multisintomas gripe,7451079003226,NEVAX PAPEL HIGIENICO PRACTIMAS HOJA DOBLE 1UNID-,7441057266651,0.01,4.88,0.86,0.13,0.05
VOLT FANTASY 360 L,7445072005103,SUEROX FRESA Y FRUTOS ROJOS 630 ML 0 AZUCAR,650240066139,0.0,2.44,0.86,0.13,0.02
BEBIDA LIF 25 GS TE FRIO LIMON,7441042601399,PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,0.0,12.5,0.86,0.03,0.12
RUMBA REDONDITAS 175GR,7441000710583,ATUN SARDIMAR LOMO TROZOS 140G,7441002637765,0.0,4.55,0.86,0.07,0.04
LINAZA MOLIDA,7441094102615,BICARBONATO DE SODIO ROMERO T/12,7443008370073,0.0,5.56,0.86,0.06,0.05
KAPY INFLADITO PICOSO,750894610112,BICARBONATO DE SODIO ROMERO T/12,7443008370073,0.0,5.56,0.86,0.06,0.05
PAPEL HIGIENICO NEVAX MEGARROLLO,7501036624374,SALSA INGLESA BANQUETE 700 ML,735051006274,0.0,7.69,0.86,0.04,0.07
CANASTILLA ESPECIAL DEL VALLE,7443001260128,CONSOME SAZONADOR RES 12U,7613032343101,0.0,2.78,0.86,0.12,0.03
JUGO DEL VALLE FRESH 3 LT.,7441003560130,PINITOS LULA CHOCOLATE 200 ML,7441001620423,0.0,6.25,0.86,0.05,0.06
QUESADILLA FAVORITA Z,7443001260395,MIEL DE ABEJA 180GS MONDAIZA,730345004042,0.0,2.78,0.86,0.12,0.03
ZIBAS MIE MOSTAZA 40 GS,750894610648,REFRESCO TROPICAL TE LIMON/350,764009442710,0.0,3.85,0.86,0.08,0.04
ZIBAS MIE MOSTAZA 40 GS,750894610648,REFRESCO TROPICAL TE-MELO/350,764009452719,0.0,3.85,0.86,0.08,0.04
CHURRITOS DIANA 44G,748757007162,GALLETAQ MANTEQUILLA 100 UDS.,7441163405746,0.0,4.55,0.86,0.07,0.04
TORTILLA DE FOGON GDES. 20 UND. z,7441000705534,MARSMELOWS CRISMELO 300 GS,760203014234,0.0,2.44,0.86,0.13,0.02
desotres  clasico,99176918424,PASTILLA TERROR FRUTAL 50 GS,748928001340,0.0,5.56,0.86,0.06,0.05
COHOCOLETA COOKIES AND CREAM,7441001621871,HELADO 1/2 PINTA COMBINADO,7441001609800,0.01,8.0,0.86,0.08,0.07
FANTA NARANJA 600 ML,7441003520486,PIZZEROLA TOSTY 175 GS,7441000724368,0.0,6.25,0.86,0.05,0.06
suavitel fresca primavera 450 ml,7509546017808,CERDITO PEQUEÑO,7441040001849,0.0,4.55,0.86,0.07,0.04
CUPCAKE VAINILLA,7441029504859,COCOA DULCE BOLSA 100GR,7702007007985,0.0,8.33,0.86,0.04,0.08
CUPCAKE VAINILLA,7441029504859,MTSAHA27 HALLS FRESA 28G 21BARRAS/DISPL 30DISPL/C 44C/T DISPL,78938847,0.0,8.33,0.86,0.04,0.08
BACTEX ELIMINA BACTERIAS,7509546675053,tang de pina 13 g.,7622201393274,0.0,5.56,0.86,0.06,0.05
HELADO COMBINADO 1/4 G.  D.P.,7441001609619,MINI MARSMELOS WILLY,7569710002658,0.0,5.56,0.86,0.06,0.05
CAFE 100 PURO QUETZAL,7441042800013,UNOX 900 G,7411000385999,0.0,2.08,0.86,0.16,0.02
LECHE UHT DELACTOMY 0% -1 L,7441001698644,SEMILLA NUTRIMIX PRO 70 GS,7441005713350,0.0,3.85,0.86,0.08,0.04
coca cola sin azucar 250 ml,7441003502864,MANTECA CLOVER 460G,751963212107,0.02,10.45,0.86,0.22,0.1
HELADO CHURCHILL D.P. 136 GS,7441001619663,GALLETA COCANAS PAQ8 UNIDADES,7441163401786,0.0,3.85,0.86,0.08,0.04
PASTILLA TERROR FRUTAL 50 GS,748928001340,BACTEX ELIMINA BACTERIAS,7509546675053,0.0,6.25,0.86,0.05,0.06
CHURRITOS DIANA 44G,748757007162,CHILE SANTA CR RODAJA160GRS,796500000588,0.0,4.55,0.86,0.07,0.04
CIFRUT 250ML,7445072005608,SLIME D/PATO 4COLOR A4178 72/CJ x48,6936771274178,0.0,2.08,0.86,0.16,0.02
BOMBA ESPECIES,7441094102431,CHIRULITO 20,7441000714819,0.0,4.17,0.86,0.08,0.04
CANASTILLA ESPECIAL DEL VALLE,7443001260128,PROTECTOR KOTEX  LARGOS 1X15,7441008156741,0.0,2.78,0.86,0.12,0.03
PINITOS LULA CHOCOLATE 200 ML,7441001620423,CAFE MOKA 1820020gr,7441006824574,0.0,5.56,0.86,0.06,0.05
GELATINA ROYAL FRESA 40G,7622300134037,AUDIFONO D/SAMSUNG 1PC 51056-17,8998510560171,0.0,5.56,0.86,0.06,0.05
RUMBA REDONDITAS 175GR,7441000710583,PAPEL HIGIENICO NEVAX MEGARROLLO,7501036624374,0.0,4.55,0.86,0.07,0.04
RUMBA REDONDITAS 175GR,7441000710583,FANTA UVA 600ML.,7441003521483,0.0,4.55,0.86,0.07,0.04
PALETA FIGURAS BBQNAVIDAD,6976685700631,PALETA NAVIDAD,6937859509351,0.01,16.67,0.86,0.04,0.16
CONSOME DE POLLO SOBRE 1X5,88169407663,SOBRE DE 5 U. DE RES MAGGI CONSOME,8445291259416,0.02,7.35,0.86,0.22,0.07
COCOA DULCE BOLSA 400G,7702007019377,AJINOMOTO SUPER AMERICA 500 GS,36,0.0,6.25,0.86,0.05,0.06
Leche pinito 1 Litro,7441001601118,CEPILLO ORAL-B LAMINA 6,3014260833176,0.0,2.78,0.86,0.12,0.03
TABASCO LIZANO,747627003013,PALITOS INTEGRALES COSECHA DORADA 40 GS,7443001141809,0.0,3.12,0.86,0.1,0.03
REFRESCO PEPSI BOT 3L,7441009010417,VASO FESTIVAL Nº12,7441005620467,0.0,6.25,0.86,0.05,0.06
TE BLANCO CON FIBRA N500 ML,7441001637032,GALLETA COCO CHAVES,7441020016252,0.0,5.56,0.86,0.06,0.05
MORA CONGELADA  500gr,554,FRESAS EN BANDEJA,522,0.02,9.43,0.86,0.17,0.09
PAPEL YUMBO ROLLO,7441010644465,FRIJOL NEGRO MISABOR 900 GS,7441010610170,0.0,2.78,0.86,0.12,0.03
PALETA NAVIDAD,6937859509351,BOLSA DE REGALO S,6811237527390,0.0,2.08,0.86,0.16,0.02
PALETA NAVIDAD,6937859509351,MARSMELO TRULULU CHOCO BANANA 50 GS,7702993052297,0.0,2.08,0.86,0.16,0.02
PALETA NAVIDAD,6937859509351,MENTOS FRESA 11 UNI,75068325,0.0,2.08,0.86,0.16,0.02
PALETA NAVIDAD,6937859509351,LEGO STICH SD326QD3860155           2WC8-240,5678900117101,0.0,2.08,0.86,0.16,0.02
suavitel fresca primavera 450 ml,7509546017808,FIDEO LUCEMA LENGUA 250 GR,7441011611022,0.0,4.55,0.86,0.07,0.04
PAPEL YUMBO ROLLO,7441010644465,PROTEX BALANCE,99176922261,0.01,5.56,0.86,0.12,0.05
SALCHICHA FAMILIAR ZURQUI,7441008933892,LIMPION MICROFIBRA firebird,55,0.0,11.11,0.86,0.03,0.1
ANGELITO FRESA,7441004100120,CARAMELO SALADO GALLITO 100gr,7441001648656,0.0,11.11,0.86,0.03,0.1
CANASTILLA ESPECIAL DEL VALLE,7443001260128,GALLETA ARTESANA NARANJA 300 GS,755111685140,0.0,2.78,0.86,0.12,0.03
CANASTILLA ESPECIAL DEL VALLE,7443001260128,ZUKO FRESA 13gr,7503037746239,0.0,2.78,0.86,0.12,0.03
ACEITE CAPULLO 900 ML OFERTA,7441007201190,BISCOCHOS LAS DELICIAS 120GRS,7528,0.01,25.0,0.86,0.03,0.23
CONSOME MAGGI SABOR/COLOR 12U,7613032332488,PLATO FESTIVAL Nº8,7441005620368,0.01,12.5,0.86,0.05,0.12
CANADA DRY LATA 237ML,7441003560321,ROCK ICE LIMÓN,764009017505,0.01,16.67,0.86,0.04,0.16
CONSOME MAGGI SABOR/COLOR 12U,7613032332488,Azukar orgánico 900g Zukra,7441042605779,0.0,6.25,0.86,0.05,0.06
PAL PINITO CRZN 75G,7441001649257,CONITOS KRUNCHY 70 GS,7441001648625,0.0,5.56,0.86,0.06,0.05
GALLETA COCO CHAVES,7441020016252,JELAXY FRASCO 200gr,8693029701779,0.0,6.25,0.86,0.05,0.06
multisintomas gripe,7451079003226,XEDEX MAXIMO PODER 500gr,7411000364987,0.0,2.44,0.86,0.13,0.02
CLOROX BOL 200ML,7441000313005,panadol sinusits alergias naranja,7451079003318,0.0,4.17,0.86,0.08,0.04
JELAXY FRASCO 200gr,8693029701779,EMPANADA DORADA CON DULCE LECHE EL VALLE,7443001260975,0.0,5.56,0.86,0.06,0.05
CLOROX BOL 200ML,7441000313005,SALSA  CARNE 106 G.,7411000344835,0.0,4.17,0.86,0.08,0.04
CAFE 100 % VALLE PURO 250 G,7441042100045,EMPANADA DORADA CON DULCE LECHE EL VALLE,7443001260975,0.0,5.56,0.86,0.06,0.05
ROMA LENGUA 250G,731701001118,LEV. FLESMAN 125 G,7502231541114,0.0,3.85,0.86,0.08,0.04
ROMA LENGUA 250G,731701001118,bischochos palmareño 70 grs,7441155901485,0.0,3.85,0.86,0.08,0.04
COLADO BANANO  DOYPACK 113G,748928010250,LECHE LULA 200 ML FRESA,7441001620430,0.0,9.09,0.86,0.04,0.08
CAFE 100 PURO QUETZAL,7441042800013,BARRITA JACKS ARANDANOS,7441001002373,0.0,2.08,0.86,0.16,0.02
TRIDENT YERTBABUENA 18 PS,7506105606060,ALBOROTO DIANA 206 GS.,748757000378,0.0,7.69,0.86,0.04,0.07
HELADO CHOCO PALETA ALASKA 60GS,7441001604324,ORIX FLORAL 450G,748928006505,0.01,3.85,0.86,0.17,0.04
CAFE 100 % VALLE PURO 250 G,7441042100045,BICARBONATO DE SODIO ROMERO T/12,7443008370073,0.0,5.56,0.86,0.06,0.05
CONSOME SABOR Y COLOR OFERTA,7613032575298,ATUN VEGETALES 140GS,7441002637772,0.0,3.85,0.86,0.08,0.04
JABON BANO VENZA 110 GS AVENA,750894642359,PROTEX BALANCE,99176922261,0.0,5.56,0.86,0.06,0.05
PIMIENTA  MOLINA NEGRA,7441094102400,DELIGURT IN LINE FRESA 200 ML.,7441001602542,0.0,3.85,0.86,0.08,0.04
MAIZ CASCADO BLANCO,3430,Pimineta bBlanca,7441094102608,0.01,2.8,0.86,0.35,0.03
MINI CHAYOTE BOLSA,594,CHIRULITO 20,7441000714819,0.0,4.17,0.86,0.08,0.04
MINI CHAYOTE BOLSA,594,ATUN PRONTO TROZOS 140G,731701014446,0.0,4.17,0.86,0.08,0.04
CAFE 100 PURO QUETZAL,7441042800013,FLEN HIGIENICO 800 H 4 UN.,7441057265791,0.0,2.08,0.86,0.16,0.02
GALLETA SODA INTEGR AL POZUELO 8PQ,86581001377,ATUN PRONTO TROC. 140 G.,731701014453,0.01,8.0,0.86,0.08,0.07
HELADO PALETA KIT KAT,7441134017268,ENVASE PARA ´POSTRE #5,201080,0.0,3.12,0.86,0.1,0.03
ROCK ICE LIMÓN,764009017505,maxxx energy boost mora 350 ml,764009054234,0.0,2.08,0.86,0.16,0.02
DESOD REXONA ROLL BAMBU MUJER,78924222,SODA GAMA 2 PACKS,753081009010,0.0,5.56,0.86,0.06,0.05
SUAVISANTE TERSO DULCE ENCANTO 400 ML,7401001687123,PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,0.0,12.5,0.86,0.03,0.12
SUAVISANTE TERSO DULCE ENCANTO 400 ML,7401001687123,PABILO TEXTIL #3,22018258,0.0,12.5,0.86,0.03,0.12
ZASONADOR COMPLETO,7441094102752,BOLSA PAPEL #2 1X20,817,0.0,6.25,0.86,0.05,0.06
RANCHITAS RANCHO QUESO 70G,750894609758,TE BLANCO CON FIBRA N500 ML,7441001637032,0.0,6.25,0.86,0.05,0.06
PASTA DENTAL COLGATE TRIPLE ACCION 50 ML,7509546003108,PAPEL ALUMINIO ALUMINE 16 PIES,7441067604597,0.0,3.85,0.86,0.08,0.04
GELATINA DIETX CEREZA,7441005692761,SALSA LIZANO DOY PACK 400ML,7411000345023,0.0,6.25,0.86,0.05,0.06
GELATINA DIETX CEREZA,7441005692761,JABON BANO VENZA 110 GS AVENA,750894642359,0.0,6.25,0.86,0.05,0.06
CONSOME SABOR Y COLOR OFERTA,7613032575298,NACHOS PAPICAR 250 GS,768965000014,0.0,3.85,0.86,0.08,0.04
CONSOME SABOR Y COLOR OFERTA,7613032575298,CEREAL JACKS TRIJUELAS 170G,7441001000553,0.0,3.85,0.86,0.08,0.04
PABILO TEXTIL #3,22018258,COMBO AHORRO FR. ROJOL Z,7441057501820,0.0,2.78,0.86,0.12,0.03
PASTA DENTAL COLGATE TRIPLE ACCION 50 ML,7509546003108,DETERGENTE MANZANA 400 G.,748928012919,0.0,3.85,0.86,0.08,0.04
PABILO TEXTIL #3,22018258,SUAVIZANTE TERSO INTENSAS SENSACIONES SACHET 80ML,7401001685785,0.0,2.78,0.86,0.12,0.03
DULCE TE 900gr,7441017910167,CREMA LAVAPLATOS SOLMAX 1K,7443012851636,0.0,4.17,0.86,0.08,0.04
PASTA DENTAL COLGATE TRIPLE ACCION 50 ML,7509546003108,Surf Fuerza citrica 400g,7411000347188,0.0,3.85,0.86,0.08,0.04
TRULULU CHOCOLORES 30 GS,7702993044063,RANCHITA NACHO EXITANTE 70G,750894609765,0.0,3.85,0.86,0.08,0.04
GELATINA ROYAL FRESA 40G,7622300134037,ILUSTRADOS GDE DEL VALLE,7443001260463,0.0,5.56,0.86,0.06,0.05
